"lon","lat","Ruído","N..Estações","Distância.min","mun"
-36.95098701,-8.0329573853,-72.0917303309,16,21261.6001890922,"MONTEIRO"
-35.9390559394,-7.6265062637,-73.3914503839,5,24693.4601822528,"BARRA DE SANTANA"
-36.8117188666,-8.1693149954,-100,0,100,"SÃO JOÃO DO TIGRE"
-37.037773262,-8.1347924848,-74.5031516908,12,28065.1272216124,"SÃO SEBASTIÃO DO UMBUZEIRO"
-37.1012363584,-8.1697794006,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-35.9107785393,-7.6521294052,-74.2970443816,2,27407.0094657431,"BARRA DE SANTANA"
-37.0660361018,-8.0565520807,-71.0554440492,14,18870.4229016554,"ZABELÊ"
-37.1222660573,-8.0526836363,-70.3942429352,14,17487.2523619328,"ZABELÊ"
-36.6356685,-8.106660587,-71.6034245088,6,20099.2872116409,"SÃO JOÃO DO TIGRE"
-36.9455789585,-8.042282966,-72.2544921936,16,21663.7702086898,"MONTEIRO"
-36.9028389784,-8.1574583778,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.9870135498,-8.0519480796,-100,0,100,"MONTEIRO"
-36.7879873408,-8.0908410233,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.7420989101,-8.0391798993,-71.0154464255,2,18783.726322898,"SÃO JOÃO DO TIGRE"
-36.6366866355,-8.1049159246,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.993208939,-8.1269748125,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.9694851116,-8.1046908731,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-35.9233663893,-7.6509979191,-100,0,100,"BARRA DE SANTANA"
-36.7228914233,-8.0347364901,-71.3248477718,2,19464.8839728849,"SÃO JOÃO DO TIGRE"
-36.881168326,-8.0415467397,-70.6512745177,2,18012.4652758514,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.7838283837,-8.1407358179,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.7534032816,-8.1189265559,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.7509490566,-8.1149162315,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.9133440918,-8.0184457961,-70.3606527338,2,17419.7559954425,"CAMALAÚ"
-36.7337144373,-8.0134914976,-70.0746956263,2,16855.5998269351,"SÃO JOÃO DO TIGRE"
-37.0211029186,-8.1623515482,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
