".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SÃO JOSÉ DOS CORDEIROS",-36.848071326764,-7.49393281827184,-67.2157022500009,39,12128.1495411986,TRUE
"CONGO",-36.670609133464,-7.79210896019327,-48.3662923349236,38,1384.5991078978,TRUE
"COXIXOLA",-36.6774293731728,-7.63701893084185,-63.6168096639242,36,8014.01062540613,TRUE
"SUMÉ",-36.7496518352132,-7.75621984722061,-66.3292677158338,29,10951.4800537381,TRUE
"PRATA",-37.067130997108,-7.66412471837798,-57.3713632481854,69,3904.60937887359,TRUE
"SUMÉ",-36.9606591104825,-7.52311519274922,-67.421111899566,47,12418.3823061538,TRUE
"CAMALAÚ",-36.8363016806838,-7.84231086003097,-60.2404240547382,27,5432.88651615772,TRUE
"SUMÉ",-36.9588495149805,-7.82502211604701,-69.9581378863852,48,16630.9219362922,TRUE
"SERRA BRANCA",-36.7343431153863,-7.59587110192483,-68.8790558084606,33,14687.9850269752,TRUE
"SUMÉ",-36.8918097545688,-7.50292687371807,-69.1795094990536,37,15204.9468251324,TRUE
"MONTEIRO",-37.0130384158406,-7.81729781439031,-67.6792866814255,60,12793.0402057776,TRUE
"MONTEIRO",-37.0628676173806,-7.85972754142681,-61.3227781931202,45,6153.87032299894,TRUE
"OURO VELHO",-37.1026525375496,-7.59978708540989,-60.4581489891859,69,5570.79119088889,TRUE
"SERRA BRANCA",-36.6530994194622,-7.42109765529135,-61.6019511345219,17,6354.87463432446,TRUE
"SERRA BRANCA",-36.7294205091025,-7.65179723277656,-68.4221784153393,37,13935.3650990245,TRUE
"SUMÉ",-36.9915833381533,-7.73462958852729,-66.3654011604978,60,10997.1332852925,TRUE
"SUMÉ",-36.9477479446509,-7.81568811773291,-69.6406590371605,48,16034.0185819833,TRUE
"SUMÉ",-36.869176839275,-7.70241744185301,-57.138269182367,33,3801.21898648628,TRUE
"MONTEIRO",-37.0106089591577,-7.90953320937665,-67.2292017575204,39,12147.0136239451,TRUE
"SUMÉ",-36.8928709182951,-7.6329008997182,-58.2544287295545,41,4322.45884727929,TRUE
"MONTEIRO",-37.0422959327993,-7.8053764590059,-66.1478618953325,60,10725.1290239847,TRUE
"CONGO",-36.6359391038136,-7.70630955123311,-64.8608387762612,39,9248.07556205874,TRUE
"SERRA BRANCA",-36.7453851264731,-7.59584606797403,-69.3244725304567,33,15460.8389832403,TRUE
"CAMALAÚ",-36.8878260281931,-7.86638119709646,-63.1932974995122,54,7632.6316817417,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9636928531404,-7.44126412130395,-63.0697250216521,52,7524.81248188413,TRUE
"SUMÉ",-36.9282965914176,-7.71062735558922,-62.2324610379766,57,6833.33138659656,TRUE
"SUMÉ",-36.968656006648,-7.81194445930855,-70.4254600025834,57,17550.21458195,TRUE
"MONTEIRO",-37.0036782644752,-7.84063082034668,-67.7838308225939,60,12947.9487533647,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8653819368051,-7.4403278704031,-63.923935479368,46,8302.44877386215,TRUE
"CAMALAÚ",-36.7348437737969,-7.87255254024608,-65.4158932194254,36,9858.34679656908,TRUE
"SUMÉ",-36.9193441445536,-7.55662120701714,-67.9019155938602,49,13125.1782570783,TRUE
"MONTEIRO",-37.094931966189,-7.84080484402334,-57.0998123608094,39,3784.42627199659,TRUE
"SUMÉ",-36.9074468307958,-7.64467673478616,-57.6570007498712,36,4035.14799932017,TRUE
"SUMÉ",-36.7915180198911,-7.77738154386139,-67.7281194001239,26,12865.1661898263,TRUE
"CAMALAÚ",-36.7533342853717,-7.81573163715625,-65.9265760210469,26,10455.3417199251,TRUE
