".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"CACIMBA DE AREIA",-37.2245064361565,-7.19928312684596,-55.9723517482163,109,3323.73980426967,TRUE
"LIVRAMENTO",-36.8371210733972,-7.35299937227928,-60.1339514132487,35,5366.69607766615,TRUE
"SÃO MAMEDE",-37.0165245267641,-6.96064791827184,-65.1357375268608,44,9545.44780098232,TRUE
"TAPEROÁ",-36.839062333464,-7.25882406019327,-60.9402624844525,33,5888.74237542304,TRUE
"SALGADINHO",-36.8458825731728,-7.10373403084185,0,28,217.565203109817,TRUE
"TAPEROÁ",-36.9181050352132,-7.22293494722061,-64.4203118753377,34,8790.73168439257,TRUE
"CACIMBA DE AREIA",-37.235584197108,-7.13083981837798,-64.0551195885951,111,8428.79342448286,TRUE
"SÃO MAMEDE",-37.1291123104825,-6.98983029274922,-59.5804791295643,87,5035.39317814601,TRUE
"LIVRAMENTO",-37.0047548806838,-7.30902596003097,-64.9598969266937,50,9354.14886314504,TRUE
"DESTERRO",-37.1273027149806,-7.29173721604702,-58.5407552347243,76,4467.32133494363,TRUE
"SANTA LUZIA",-36.9027963153863,-7.06258620192484,-63.3788115594183,34,7797.40350021058,TRUE
"SÃO MAMEDE",-37.0602629545688,-6.96964197371807,-61.258790104916,77,6108.70194991196,TRUE
"TEIXEIRA",-37.1814916158406,-7.28401291439031,-65.691015503377,87,10175.6041995297,TRUE
"PATOS",-37.2711057375496,-7.06650218540989,-49.5411558726019,97,1585.13853669792,TRUE
"SANTA LUZIA",-36.8215526194622,-6.88781275529136,-66.1658025240279,24,10747.3045775278,TRUE
"SALGADINHO",-36.8978737091025,-7.11851233277657,-59.6347652430737,38,5066.96253180316,TRUE
"CACIMBAS",-37.1600365381533,-7.20134468852729,-63.7096745038679,107,8100.15176461,TRUE
"DESTERRO",-37.1162011446509,-7.28240321773291,-55.9124176484194,76,3300.88438424669,TRUE
"CACIMBAS",-37.037630039275,-7.16913254185301,-59.6622395191689,56,5083.01517978297,TRUE
"PASSAGEM",-37.0613241182951,-7.0996159997182,-54.7065732817316,85,2873.01633200837,TRUE
"TEIXEIRA",-37.2107491327993,-7.27209155900591,-62.4885913734096,112,7037.8336820612,TRUE
"TAPEROÁ",-36.8043923038136,-7.17302465123311,-58.495547053897,35,4444.13029613884,TRUE
"SANTA LUZIA",-36.9138383264731,-7.06256116797403,-62.9372706873723,34,7410.93433307646,TRUE
"DESTERRO",-37.0562792281931,-7.33309629709647,-61.0621494964476,69,5971.96021124526,TRUE
"SÃO MAMEDE",-37.1321460531404,-6.90797922130395,-58.6398058430649,70,4518.55656033643,TRUE
"PATOS",-37.2035224108336,-6.9406864088839,-65.0149483447903,70,9413.62400589713,TRUE
"CACIMBA DE AREIA",-37.0967497914176,-7.17734245558922,-60.5268553035445,105,5615.03148601024,TRUE
"DESTERRO",-37.137109206648,-7.27865955930856,-60.5743316763322,84,5645.80682675678,TRUE
"DESTERRO",-37.1721314644752,-7.30734592034668,-63.5227571646782,75,7927.70149188091,TRUE
"SÃO MAMEDE",-37.0338351368051,-6.9070429704031,-62.7956476814826,38,7291.0791825792,TRUE
"LIVRAMENTO",-36.9032969737969,-7.33926764024608,-61.2521133627414,33,6104.00806618708,TRUE
"SÃO MAMEDE",-37.0877973445536,-7.02333630701714,-62.267296413363,88,6860.79197545759,TRUE
"PASSAGEM",-37.0759000307958,-7.11139183478617,-55.5640748181083,87,3171.1236137666,TRUE
"TAPEROÁ",-36.9599712198911,-7.24409664386139,-63.3657500309156,41,7785.68685695433,TRUE
"TAPEROÁ",-36.9217874853717,-7.28244673715625,-66.0808874625484,33,10642.7486085418,TRUE
